source node,target node,highlight_words
ARTH 214-00 - Queer Art,MATH 241-00 - Ordinary Differentl Equations,social liberatory
MATH 241-00 - Ordinary Differentl Equations,ARTH 214-00 - Queer Art,liberatory social
ARTH 214-00 - Queer Art,HIST 229-00 - Working With Gender,cultural gender
HIST 229-00 - Working With Gender,ARTH 214-00 - Queer Art,gender cultural
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,THEA 185-00 - The Speaking Voice,thinking social
THEA 185-00 - The Speaking Voice,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,social thinking
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,HIST 347-00 - The Global Cold War,cultural political
HIST 347-00 - The Global Cold War,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,political cultural
ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,HIST 205-00 - American Environmental History,contemporary cultural
HIST 205-00 - American Environmental History,ARTH 216-00 - Revolutionary Image Regimes: Curating Middle Eastern Photographs and Prints after the Digital Turn,cultural contemporary
ARTH 257-00 - Modern Art and the Museum in the Middle East,CAMS 187-00 - Cult TV and Fan Cultures,history modern
CAMS 187-00 - Cult TV and Fan Cultures,ARTH 257-00 - Modern Art and the Museum in the Middle East,modern history
ARTH 257-00 - Modern Art and the Museum in the Middle East,SPAN 220-00 - Latin American Narrative,contemporary iranian
SPAN 220-00 - Latin American Narrative,ARTH 257-00 - Modern Art and the Museum in the Middle East,iranian contemporary
ARTH 298-00 - The History of Art History,ARTS 230-01 - Ceramics: Throwing,conceptual art
ARTS 230-01 - Ceramics: Throwing,ARTH 298-00 - The History of Art History,art conceptual
ARTH 298-00 - The History of Art History,AFST 289-00 - Global Blackness and Social Movements,contexts nature
AFST 289-00 - Global Blackness and Social Movements,ARTH 298-00 - The History of Art History,nature contexts
ARTS 113-01 - Field Drawing,EDUC 385-00 - Schooling and Communities,sites classes
EDUC 385-00 - Schooling and Communities,ARTS 113-01 - Field Drawing,classes sites
ARTS 113-01 - Field Drawing,ARTS 230-01 - Ceramics: Throwing,means materials
ARTS 230-01 - Ceramics: Throwing,ARTS 113-01 - Field Drawing,materials means
ARTS 113-01 - Field Drawing,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,create materials
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,ARTS 113-01 - Field Drawing,materials create
ARTS 122-00 - Introduction to Sculpture,GEOL 240-52 - Geophysics & Lab,structure structures
GEOL 240-52 - Geophysics & Lab,ARTS 122-00 - Introduction to Sculpture,structures structure
ARTS 122-00 - Introduction to Sculpture,MUSC 313-00 - Video Game Music,structures content
MUSC 313-00 - Video Game Music,ARTS 122-00 - Introduction to Sculpture,content structures
ARTS 122-00 - Introduction to Sculpture,ARTS 339-00 - Advanced Photography,contemporary defining
ARTS 339-00 - Advanced Photography,ARTS 122-00 - Introduction to Sculpture,defining contemporary
ARTS 139-00 - Beginning Photography,ARTS 339-00 - Advanced Photography,photography critical
ARTS 339-00 - Advanced Photography,ARTS 139-00 - Beginning Photography,critical photography
ARTS 139-00 - Beginning Photography,MUSC 221-00 - Electronic Music Composition,digital
MUSC 221-00 - Electronic Music Composition,ARTS 139-00 - Beginning Photography,digital
ARTS 139-00 - Beginning Photography,CAMS 111-01 - Intro to Cinema & Media Production,digital production
CAMS 111-01 - Intro to Cinema & Media Production,ARTS 139-00 - Beginning Photography,production digital
ARTS 230-01 - Ceramics: Throwing,EDUC 338-00 - Multicultural Education,cultural civic
EDUC 338-00 - Multicultural Education,ARTS 230-01 - Ceramics: Throwing,civic cultural
ARTS 230-01 - Ceramics: Throwing,HEBR 102-00 - Elementary Modern Hebrew,project means
HEBR 102-00 - Elementary Modern Hebrew,ARTS 230-01 - Ceramics: Throwing,means project
ARTS 230-01 - Ceramics: Throwing,EDUC 385-00 - Schooling and Communities,teaching practice
EDUC 385-00 - Schooling and Communities,ARTS 230-01 - Ceramics: Throwing,practice teaching
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,GEOL 110-52 - Introduction to Geology & Lab,processes
GEOL 110-52 - Introduction to Geology & Lab,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,processes
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,PHYS 352-00 - Advanced Elect & Magnetism,applying instruction
PHYS 352-00 - Advanced Elect & Magnetism,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,instruction applying
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,STAT 230-00 - Applied Regression Analysis,software modeling
STAT 230-00 - Applied Regression Analysis,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,modeling software
ARTS 262-00 - Watercolor,LING 319-00 - Sociolinguistic Field Methods,naturalistic interactions
LING 319-00 - Sociolinguistic Field Methods,ARTS 262-00 - Watercolor,interactions naturalistic
ARTS 262-00 - Watercolor,SPAN 103-01 - Intermediate Spanish,patterns strategies
SPAN 103-01 - Intermediate Spanish,ARTS 262-00 - Watercolor,strategies patterns
ARTS 262-00 - Watercolor,CHEM 362-00 - Chemistry at the Nanoscale,technology waterbased
CHEM 362-00 - Chemistry at the Nanoscale,ARTS 262-00 - Watercolor,waterbased technology
ARTS 322-00 - Sculpture 2: Form & Context,ENGL 371-00 - Adv Poetry Workshop,contemporary art
ENGL 371-00 - Adv Poetry Workshop,ARTS 322-00 - Sculpture 2: Form & Context,art contemporary
ARTS 322-00 - Sculpture 2: Form & Context,MUSC 313-00 - Video Game Music,creative digital
MUSC 313-00 - Video Game Music,ARTS 322-00 - Sculpture 2: Form & Context,digital creative
ARTS 339-00 - Advanced Photography,ARTS 139-00 - Beginning Photography,critical photography
ARTS 139-00 - Beginning Photography,ARTS 339-00 - Advanced Photography,photography critical
ARTS 339-00 - Advanced Photography,ARTS 122-00 - Introduction to Sculpture,defining contemporary
ARTS 122-00 - Introduction to Sculpture,ARTS 339-00 - Advanced Photography,contemporary defining
ARTS 339-00 - Advanced Photography,ARTS 230-01 - Ceramics: Throwing,means technical
ARTS 230-01 - Ceramics: Throwing,ARTS 339-00 - Advanced Photography,technical means
ARTS 374-00 - Advanced Printmaking,BIOL 370-00 - Seminar: Slct Tpcs in Virology,discuss relevant
BIOL 370-00 - Seminar: Slct Tpcs in Virology,ARTS 374-00 - Advanced Printmaking,relevant discuss
ARTS 374-00 - Advanced Printmaking,CHEM 362-00 - Chemistry at the Nanoscale,interdisciplinary conceptual
CHEM 362-00 - Chemistry at the Nanoscale,ARTS 374-00 - Advanced Printmaking,conceptual interdisciplinary
ARTS 374-00 - Advanced Printmaking,LATN 103-00 - Intro Latin Prose and Poetry,concepts printmaking
LATN 103-00 - Intro Latin Prose and Poetry,ARTS 374-00 - Advanced Printmaking,printmaking concepts
ASLN 111-00 - Writing Systems,SOAN 111-00 - Introduction to Sociology,historical
SOAN 111-00 - Introduction to Sociology,ASLN 111-00 - Writing Systems,historical
ASLN 111-00 - Writing Systems,FREN 103-01 - Intermediate French,cultural historical
FREN 103-01 - Intermediate French,ASLN 111-00 - Writing Systems,historical cultural
ASST 110-00 - Elementary Hindi/Urdu,EDUC 338-00 - Multicultural Education,cultures cultural
EDUC 338-00 - Multicultural Education,ASST 110-00 - Elementary Hindi/Urdu,cultural cultures
ASST 110-00 - Elementary Hindi/Urdu,ARTS 230-01 - Ceramics: Throwing,function cultural
ARTS 230-01 - Ceramics: Throwing,ASST 110-00 - Elementary Hindi/Urdu,cultural function
ASST 110-00 - Elementary Hindi/Urdu,GEOL 230-52 - Paleobiology & Lab,evolution cultural
GEOL 230-52 - Paleobiology & Lab,ASST 110-00 - Elementary Hindi/Urdu,cultural evolution
"ASST 285-00 - Mapping Japan, Real & Imagined",RELG 110-00 - Understanding Religion,historical religious
RELG 110-00 - Understanding Religion,"ASST 285-00 - Mapping Japan, Real & Imagined",religious historical
"ASST 285-00 - Mapping Japan, Real & Imagined",HIST 153-00 - History of Modern China,cultural
HIST 153-00 - History of Modern China,"ASST 285-00 - Mapping Japan, Real & Imagined",cultural
"ASST 285-00 - Mapping Japan, Real & Imagined",HIST 276-01 - Reimagining Mexico’s Indigenous Past,imaginary peoples
HIST 276-01 - Reimagining Mexico’s Indigenous Past,"ASST 285-00 - Mapping Japan, Real & Imagined",peoples imaginary
ASTR 233-00 - Astrophysics II,PHYS 233-00 - Astrophysics II,galaxies
PHYS 233-00 - Astrophysics II,ASTR 233-00 - Astrophysics II,galaxies
ASTR 233-00 - Astrophysics II,MATH 341-00 - Partial Differential Equations,equations dynamics
MATH 341-00 - Partial Differential Equations,ASTR 233-00 - Astrophysics II,dynamics equations
ASTR 233-00 - Astrophysics II,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),cognition cosmology
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),ASTR 233-00 - Astrophysics II,cosmology cognition
BIOC 331-00 - Current Topics in Biochemistry,LATN 103-00 - Intro Latin Prose and Poetry,textbook literature
LATN 103-00 - Intro Latin Prose and Poetry,BIOC 331-00 - Current Topics in Biochemistry,literature textbook
BIOC 331-00 - Current Topics in Biochemistry,SPAN 205-00 - Conversation & Composition,focused literature
SPAN 205-00 - Conversation & Composition,BIOC 331-00 - Current Topics in Biochemistry,literature focused
BIOC 331-00 - Current Topics in Biochemistry,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),scientific
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),BIOC 331-00 - Current Topics in Biochemistry,scientific
"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",ECON 330-00 - Intermediate Price Theory,framework apply
ECON 330-00 - Intermediate Price Theory,"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",apply framework
"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",HEBR 102-00 - Elementary Modern Hebrew,knowledge background
HEBR 102-00 - Elementary Modern Hebrew,"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",background knowledge
"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",EDUC 385-00 - Schooling and Communities,interaction academic
EDUC 385-00 - Schooling and Communities,"BIOL 125-52 - Genes, Evolution & Development (Genes, Evolution, and Development and Lab)",academic interaction
BIOL 126-52 - Energy Flow in Biological Systems and Lab,GEOL 230-52 - Paleobiology & Lab,ecology organismal
GEOL 230-52 - Paleobiology & Lab,BIOL 126-52 - Energy Flow in Biological Systems and Lab,organismal ecology
BIOL 126-52 - Energy Flow in Biological Systems and Lab,ECON 331-00 - Intermediate Macro Theory,level
ECON 331-00 - Intermediate Macro Theory,BIOL 126-52 - Energy Flow in Biological Systems and Lab,level
BIOL 126-52 - Energy Flow in Biological Systems and Lab,CHIN 206-00 - Chinese in Cultural Context,society concepts
CHIN 206-00 - Chinese in Cultural Context,BIOL 126-52 - Energy Flow in Biological Systems and Lab,concepts society
BIOL 240-00 - Genetics,MATH 341-00 - Partial Differential Equations,characteristics mechanism
MATH 341-00 - Partial Differential Equations,BIOL 240-00 - Genetics,mechanism characteristics
BIOL 240-00 - Genetics,ASTR 233-00 - Astrophysics II,superclusters organisms
ASTR 233-00 - Astrophysics II,BIOL 240-00 - Genetics,organisms superclusters
BIOL 240-00 - Genetics,PHYS 233-00 - Astrophysics II,superclusters organisms
PHYS 233-00 - Astrophysics II,BIOL 240-00 - Genetics,organisms superclusters
BIOL 352-00 - Population Ecology,GEOL 110-52 - Introduction to Geology & Lab,tectonics nature
GEOL 110-52 - Introduction to Geology & Lab,BIOL 352-00 - Population Ecology,nature tectonics
BIOL 352-00 - Population Ecology,PHYS 352-00 - Advanced Elect & Magnetism,equations calculus
PHYS 352-00 - Advanced Elect & Magnetism,BIOL 352-00 - Population Ecology,calculus equations
BIOL 352-00 - Population Ecology,ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,processes necessary
ARTS 252-00 - Metalsmithing: Anc Tech/New Tech,BIOL 352-00 - Population Ecology,necessary processes
BIOL 370-00 - Seminar: Slct Tpcs in Virology,ECON 277-00 - Hist & Theory of Finan Crises,empirical implications
ECON 277-00 - Hist & Theory of Finan Crises,BIOL 370-00 - Seminar: Slct Tpcs in Virology,implications empirical
BIOL 370-00 - Seminar: Slct Tpcs in Virology,LATN 103-00 - Intro Latin Prose and Poetry,morphology structure
LATN 103-00 - Intro Latin Prose and Poetry,BIOL 370-00 - Seminar: Slct Tpcs in Virology,structure morphology
BIOL 370-00 - Seminar: Slct Tpcs in Virology,GEOL 240-52 - Geophysics & Lab,laboratories laboratory
GEOL 240-52 - Geophysics & Lab,BIOL 370-00 - Seminar: Slct Tpcs in Virology,laboratory laboratories
BIOL 378-00 - Seminar: Orig & Early Evol Life,PHIL 119-00 - Meaning of Life,life
PHIL 119-00 - Meaning of Life,BIOL 378-00 - Seminar: Orig & Early Evol Life,life
BIOL 378-00 - Seminar: Orig & Early Evol Life,CAMS 186-00 - Film Genres,society literature
CAMS 186-00 - Film Genres,BIOL 378-00 - Seminar: Orig & Early Evol Life,literature society
BIOL 378-00 - Seminar: Orig & Early Evol Life,ECON 274-00 - Labor Economics,human fundamental
ECON 274-00 - Labor Economics,BIOL 378-00 - Seminar: Orig & Early Evol Life,fundamental human
CAMS 110-00 - Introduction to Cinema and Media Studies,THEA 110-00 - Beginning Acting,fundamental stylistic
THEA 110-00 - Beginning Acting,CAMS 110-00 - Introduction to Cinema and Media Studies,stylistic fundamental
CAMS 110-00 - Introduction to Cinema and Media Studies,PSYC 354-00 - Counseling Psychology,methodologies strategies
PSYC 354-00 - Counseling Psychology,CAMS 110-00 - Introduction to Cinema and Media Studies,strategies methodologies
CAMS 110-00 - Introduction to Cinema and Media Studies,CAMS 265-00 - Sound Design,concepts narrative
CAMS 265-00 - Sound Design,CAMS 110-00 - Introduction to Cinema and Media Studies,narrative concepts
CAMS 111-01 - Intro to Cinema & Media Production,MUSC 221-00 - Electronic Music Composition,production digital
MUSC 221-00 - Electronic Music Composition,CAMS 111-01 - Intro to Cinema & Media Production,digital production
CAMS 111-01 - Intro to Cinema & Media Production,CS 320-00 - Machine Learning,modern individual
CS 320-00 - Machine Learning,CAMS 111-01 - Intro to Cinema & Media Production,individual modern
CAMS 111-01 - Intro to Cinema & Media Production,CS 347-00 - Advanced Software Design,project advanced
CS 347-00 - Advanced Software Design,CAMS 111-01 - Intro to Cinema & Media Production,advanced project
CAMS 186-00 - Film Genres,BIOL 378-00 - Seminar: Orig & Early Evol Life,literature society
BIOL 378-00 - Seminar: Orig & Early Evol Life,CAMS 186-00 - Film Genres,society literature
CAMS 186-00 - Film Genres,ECON 274-00 - Labor Economics,society
ECON 274-00 - Labor Economics,CAMS 186-00 - Film Genres,society
CAMS 187-00 - Cult TV and Fan Cultures,CAMS 111-01 - Intro to Cinema & Media Production,video production
CAMS 111-01 - Intro to Cinema & Media Production,CAMS 187-00 - Cult TV and Fan Cultures,production video
CAMS 187-00 - Cult TV and Fan Cultures,BIOL 370-00 - Seminar: Slct Tpcs in Virology,viral examining
BIOL 370-00 - Seminar: Slct Tpcs in Virology,CAMS 187-00 - Cult TV and Fan Cultures,examining viral
CAMS 214-00 - Film History III,POSC 201-00 - Statecraft & Tools Natl Power,international economic
POSC 201-00 - Statecraft & Tools Natl Power,CAMS 214-00 - Film History III,economic international
CAMS 214-00 - Film History III,HIST 347-00 - The Global Cold War,cultural economic
HIST 347-00 - The Global Cold War,CAMS 214-00 - Film History III,economic cultural
CAMS 214-00 - Film History III,HIST 308-00 - American Cities and Nature,cultural economic
HIST 308-00 - American Cities and Nature,CAMS 214-00 - Film History III,economic cultural
CAMS 265-00 - Sound Design,PSYC 354-00 - Counseling Psychology,methodologies concepts
PSYC 354-00 - Counseling Psychology,CAMS 265-00 - Sound Design,concepts methodologies
CAMS 265-00 - Sound Design,THEA 110-00 - Beginning Acting,improvisational film
THEA 110-00 - Beginning Acting,CAMS 265-00 - Sound Design,film improvisational
CAMS 265-00 - Sound Design,THEA 185-00 - The Speaking Voice,voice sound
THEA 185-00 - The Speaking Voice,CAMS 265-00 - Sound Design,sound voice
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),PHYS 233-00 - Astrophysics II,cosmology cognition
PHYS 233-00 - Astrophysics II,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),cognition cosmology
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),ASTR 233-00 - Astrophysics II,cosmology cognition
ASTR 233-00 - Astrophysics II,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),cognition cosmology
CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),MATH 341-00 - Partial Differential Equations,equations problem
MATH 341-00 - Partial Differential Equations,CGSC 130-00 - Introduction to Cogntive Science (Revolutions in Mind),problem equations
CGSC 330-00 - Embodied Cognition,CHEM 362-00 - Chemistry at the Nanoscale,biology science
CHEM 362-00 - Chemistry at the Nanoscale,CGSC 330-00 - Embodied Cognition,science biology
CGSC 330-00 - Embodied Cognition,CHEM 351-00 - Inorganic Chemistry,mechanisms cartesian
CHEM 351-00 - Inorganic Chemistry,CGSC 330-00 - Embodied Cognition,cartesian mechanisms
CGSC 330-00 - Embodied Cognition,LING 319-00 - Sociolinguistic Field Methods,sociolinguistic cognitive
LING 319-00 - Sociolinguistic Field Methods,CGSC 330-00 - Embodied Cognition,cognitive sociolinguistic
CHEM 122-00 - Introduction to Chemistry,ENGL 370-00 - Advanced Fiction Workshop,advanced algebra
ENGL 370-00 - Advanced Fiction Workshop,CHEM 122-00 - Introduction to Chemistry,algebra advanced
CHEM 122-00 - Introduction to Chemistry,PSYC 216-00 - Behavioral Neuroscience,physiological stoichiometry
PSYC 216-00 - Behavioral Neuroscience,CHEM 122-00 - Introduction to Chemistry,stoichiometry physiological
CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),LING 319-00 - Sociolinguistic Field Methods,phonological periodicity
LING 319-00 - Sociolinguistic Field Methods,CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),periodicity phonological
CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),CHEM 362-00 - Chemistry at the Nanoscale,chemistry molecular
CHEM 362-00 - Chemistry at the Nanoscale,CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),molecular chemistry
CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),BIOL 126-52 - Energy Flow in Biological Systems and Lab,molecular
BIOL 126-52 - Energy Flow in Biological Systems and Lab,CHEM 123-52 - Principles of Chemistry I & Lab (Principles of Chemistry I and Lab),molecular
CHEM 348-00 - Intro to Computational Chem,GEOL 240-52 - Geophysics & Lab,laboratories processes
GEOL 240-52 - Geophysics & Lab,CHEM 348-00 - Intro to Computational Chem,processes laboratories
CHEM 348-00 - Intro to Computational Chem,SPAN 205-00 - Conversation & Composition,component literature
SPAN 205-00 - Conversation & Composition,CHEM 348-00 - Intro to Computational Chem,literature component
CHEM 348-00 - Intro to Computational Chem,ENGL 370-00 - Advanced Fiction Workshop,advanced literature
ENGL 370-00 - Advanced Fiction Workshop,CHEM 348-00 - Intro to Computational Chem,literature advanced
CHEM 351-00 - Inorganic Chemistry,CHEM 362-00 - Chemistry at the Nanoscale,chemistry organometallic
CHEM 362-00 - Chemistry at the Nanoscale,CHEM 351-00 - Inorganic Chemistry,organometallic chemistry
CHEM 351-00 - Inorganic Chemistry,CGSC 330-00 - Embodied Cognition,cartesian mechanisms
CGSC 330-00 - Embodied Cognition,CHEM 351-00 - Inorganic Chemistry,mechanisms cartesian
CHEM 351-00 - Inorganic Chemistry,LING 319-00 - Sociolinguistic Field Methods,phonological spectroscopic
LING 319-00 - Sociolinguistic Field Methods,CHEM 351-00 - Inorganic Chemistry,spectroscopic phonological
CHEM 362-00 - Chemistry at the Nanoscale,LING 319-00 - Sociolinguistic Field Methods,research
LING 319-00 - Sociolinguistic Field Methods,CHEM 362-00 - Chemistry at the Nanoscale,research
CHEM 362-00 - Chemistry at the Nanoscale,SPAN 103-01 - Intermediate Spanish,patterns literature
SPAN 103-01 - Intermediate Spanish,CHEM 362-00 - Chemistry at the Nanoscale,literature patterns
CHEM 362-00 - Chemistry at the Nanoscale,JAPN 206-00 - Japanese in Cultural Context,modern literature
JAPN 206-00 - Japanese in Cultural Context,CHEM 362-00 - Chemistry at the Nanoscale,literature modern
CHIN 103-00 - Elementary Chinese,JAPN 103-01 - Elementary Japanese,japanese chinese
JAPN 103-01 - Elementary Japanese,CHIN 103-00 - Elementary Chinese,chinese japanese
CHIN 103-00 - Elementary Chinese,RUSS 103-00 - Elementary Russian,russian chinese
RUSS 103-00 - Elementary Russian,CHIN 103-00 - Elementary Chinese,chinese russian
CHIN 103-00 - Elementary Chinese,GEOL 230-52 - Paleobiology & Lab,ecology chinese
GEOL 230-52 - Paleobiology & Lab,CHIN 103-00 - Elementary Chinese,chinese ecology
CHIN 206-00 - Chinese in Cultural Context,ECON 331-00 - Intermediate Macro Theory,speak proficiency
ECON 331-00 - Intermediate Macro Theory,CHIN 206-00 - Chinese in Cultural Context,proficiency speak
CHIN 206-00 - Chinese in Cultural Context,HIST 153-00 - History of Modern China,chinese cultural
HIST 153-00 - History of Modern China,CHIN 206-00 - Chinese in Cultural Context,cultural chinese
